"State","RegionID","RegionName","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","StateName"
"AK",2616,"Anchorage","Anchorage",2,20,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217100,215600,214700,214500,215000,215300,215500,216000,217400,218800,219800,220000,220100,220200,219900,219300,218600,217600,216300,215400,215200,215900,217000,218100,219800,222100,223400,223600,223800,223900,222900,221900,222500,224100,225800,227400,228900,229800,230900,232400,234000,235000,235700,236900,238700,240500,242100,243600,245100,246400,247600,249100,250900,252300,253400,254000,254700,255700,257500,259700,261800,263400,264500,265900,267900,270300,272300,273500,274900,276900,279000,280500,282200,284200,286300,288800,291400,293900,297300,301700,305700,309000,312100,315400,318600,322700,327700,332400,336700,341600,346000,350000,354300,358600,362200,365500,368200,370700,372800,374200,374100,374200,375100,376300,377400,378900,379500,379100,379000,379000,378700,378400,377600,376400,376100,376700,376700,376200,375700,374100,370400,366100,362200,358500,355100,352300,349900,347100,343800,339700,336600,336700,339800,342100,343500,346500,349700,349200,347900,347000,344900,341200,339100,338200,336800,333700,330800,328400,327600,328400,327300,324700,324800,327700,330000,330000,328200,328900,331500,332600,332000,331900,331900,332100,332800,333500,333500,334600,337700,340500,341100,341200,341600,340800,339600,340600,343700,347200,349100,349000,348000,348200,348600,348400,348100,349300,351800,352700,350500,347500,346700,347000,347200,346600,346500,346900,347100,347300,348000,349000,350700,352800,354500,355400,355500,354900,354100,354500,356200,359200,362000,363200,363100,"Alaska"
"AK",3290,"Fairbanks North Star","Fairbanks",2,90,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197600,193900,191300,191000,191200,191500,190900,189700,188700,189400,190000,190500,190800,190800,189500,188800,189100,189300,187900,186300,186500,188700,190200,190700,191700,192100,191200,191200,191800,190600,188000,184900,183900,186200,190900,195500,198700,199500,198800,198000,197400,196300,194300,193400,194700,196400,197000,197500,198600,199000,199000,198200,197100,196700,197200,197500,198100,199200,200700,201900,204000,207400,210900,213800,216800,219800,222300,224100,226300,228100,229900,232300,234300,234400,236100,239100,242100,244600,247800,251000,252700,254500,257500,260100,261800,265900,270100,273200,275000,276500,278000,279800,280100,279500,280800,282300,281800,282500,285100,287100,287300,288000,288600,289500,289700,290600,292000,293600,296000,298200,298300,298300,301600,307700,312200,315500,322200,326600,322100,314600,309700,305200,300700,296200,291400,286600,281900,276800,271200,265600,261800,260900,261800,262100,261700,261300,260400,257800,255400,254600,254100,253500,253300,253500,253600,253100,253400,255300,256600,255400,255500,256800,257100,256700,256600,255600,254700,254400,253200,251900,251500,251900,253000,253000,253000,254200,257300,260000,261100,259600,257900,256500,255500,255200,255100,255500,254900,253700,253300,254600,253400,251600,250800,250200,249300,249700,249500,248100,248300,251500,255200,257000,257600,259100,261300,262800,263700,264800,265000,264300,264200,264400,264400,263600,263200,264300,265500,265800,265500,264900,264900,265600,265400,"Alaska"
"AK",1127,"Juneau","Juneau",2,110,907,,,,,,,,,,,,,,,,,,227000,226100,225900,227600,231000,232900,232900,233500,234900,236200,238600,241400,243900,244900,243800,241200,239400,239900,242900,246100,248700,250800,253300,254800,256100,257400,260600,263200,261800,259300,260500,261700,261100,261300,262600,263100,260200,254700,250900,250900,252200,251800,246600,240700,238300,238100,236900,235500,235100,237200,239400,239100,238800,241100,243200,245500,249100,251100,251900,253500,255000,254900,253100,252500,254600,257000,258700,261100,262700,264400,266000,267200,268800,271400,274200,278500,283900,288700,291800,292200,291600,293200,297300,301100,305200,309600,312800,315100,317400,318700,321300,326500,332600,338700,343500,346500,352800,362100,370000,374000,375900,377300,378700,380100,382100,383100,383000,384400,386500,388700,392400,395900,396800,399300,405400,411400,415600,418500,419300,419300,417200,413700,411000,409900,409300,408400,407200,405600,401600,394700,389600,387100,385000,381400,377800,375200,373400,371300,368200,364900,362400,360700,360600,360800,359200,356800,355900,355500,354700,354500,354500,353600,352200,352100,352300,351600,351500,352600,353500,353600,353700,352500,352000,353600,356600,359800,361900,363700,367000,371300,373800,374900,375000,375900,377300,378400,379700,381800,383800,385300,385600,385800,386400,387500,388500,388600,386800,385700,386400,387900,389100,388400,385800,383300,382800,382400,380500,375400,372600,372500,373400,373400,374600,377300,380300,380300,378600,379300,385600,396900,404700,405300,402700,399900,397000,396400,396800,396700,396700,397000,397200,396600,395200,394000,"Alaska"
"AK",3274,"Ketchikan Gateway","Ketchikan",2,130,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279300,279100,280700,281400,281400,281400,280500,276900,274400,274900,274900,272600,271900,271500,270400,270000,270000,269200,269800,270800,269800,267900,268500,272800,279200,284000,285800,285800,285600,286800,289800,291800,293400,293900,294300,294900,290300,282400,277000,276800,279100,282100,283000,288700,295600,301900,305000,303600,301700,306900,313000,314200,313600,314800,318400,320800,324200,327100,328000,328800,331500,332800,333300,334900,336700,336500,333600,328100,321000,316500,315900,317800,319900,321000,"Alaska"
"AK",3277,"Matanuska Susitna","Anchorage",2,170,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,191500,188700,187300,186600,185500,184000,182800,182400,183600,185300,186800,187500,187700,186700,185800,185200,184800,183300,182200,182500,183800,185200,186100,186900,187800,187800,188200,188300,186500,184000,181100,178400,179100,182300,184700,185700,186300,188300,191700,195000,196600,197100,197900,200400,202400,203000,202200,202300,201800,199900,197800,196700,196500,198200,199800,201300,203700,207400,210800,212400,213800,215200,215600,215900,217000,216900,217200,218800,220400,221100,223400,226700,229300,231000,233500,236000,238800,241300,243300,246500,250800,254700,257300,261300,266400,270600,273700,277700,281500,283200,283400,283200,283300,283800,285600,288100,290800,293400,294900,295500,296200,297000,297100,296200,293800,291500,289600,286300,281800,279500,279500,279300,278800,279400,282000,285600,287800,288800,289000,288500,287900,287600,286500,285600,284400,283000,281800,280900,280500,279100,277600,277300,278200,279100,280000,279300,277700,275400,272400,268900,266900,266500,265500,263800,262200,260400,259000,257800,255700,253300,251800,250200,248900,248800,249300,248900,248500,248200,248600,249300,251000,255200,261400,265700,265900,264600,265200,267800,269900,271600,273200,274300,276300,278600,277500,275100,275000,275100,273400,272400,271100,267700,262300,258900,257900,258900,260400,261400,261400,262500,263400,262900,263200,264500,265700,266800,267400,266000,264200,265000,266900,268400,270100,271700,272000,273000,274300,275100,274500,273600,273400,273900,"Alaska"
"AL",3043,"Tuscaloosa","Tuscaloosa",1,125,308,185200,184800,184900,184800,184600,184600,184700,184300,183800,183700,183700,183400,183400,184000,184100,183900,184000,184200,184700,186400,188600,190200,190800,190300,190000,191000,192100,191600,190200,190300,191400,192800,193000,193100,193700,194500,194700,195100,195500,196500,197500,197500,197400,197600,197600,198200,199600,200800,201700,202200,202400,202400,203800,205400,206400,207200,207600,207300,207200,207300,207700,208300,207800,207500,208600,209900,211300,213400,215900,217700,218400,219600,221100,221300,220700,220200,218900,217000,214800,211900,208700,206500,204900,202600,200000,198700,198500,198500,199200,200700,202000,203400,206200,210600,215000,219400,223500,226700,230100,234600,239200,243300,246200,248700,250400,250200,249300,250100,251000,251100,252800,254500,253400,252000,252700,254300,255900,257400,258000,257600,257000,257400,257600,257000,255900,255200,254500,253900,253500,253800,254800,255000,254200,253600,252800,252200,252600,252400,250600,248300,246700,246100,246000,247000,249400,252100,253400,252600,251700,251600,252400,252000,250500,249300,248100,245400,242500,240200,239300,239800,240900,242100,243500,244800,244900,243800,242400,241900,242500,243600,244100,244000,243000,241500,239900,239000,238200,237400,236600,236400,235600,233500,231300,231200,232200,233200,234100,235000,236100,237300,237700,237700,238000,238700,239400,240300,240800,240500,240500,241400,242000,241600,241300,242200,242500,242200,241800,241100,241000,241400,241300,241300,243100,246200,248600,250500,254000,258200,260900,262100,262700,263400,263800,263300,262000,261400,262600,264000,263900,262700,261100,259300,258000,257200,257000,257700,259100,260600,262000,261700,260300,"Alabama"
"AL",2967,"Montgomery","Montgomery",1,101,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224200,223900,228400,241600,251500,252100,248100,242600,235500,230100,224800,221500,224400,235700,249400,259800,263800,261300,262900,269400,273100,276100,284100,288500,283900,276400,272700,269100,260700,253200,251200,254100,256600,256600,256300,257500,258700,255900,248800,241400,233800,227000,222900,221700,221700,223200,223700,222800,220800,218900,216200,213200,209500,207200,206700,209700,214500,218400,218900,219000,219800,221100,221200,221200,219700,218400,218500,219100,218300,217800,217500,217800,219300,220500,220800,221800,221600,220200,219600,219900,219400,"Alabama"
"AL",1003,"Elmore","Montgomery",1,51,598,155400,152500,151700,151400,150500,149500,148500,148300,148700,148900,149000,148400,146600,144700,145300,148400,152600,156100,158300,158400,157900,158600,158500,158100,161300,166800,168400,166400,163900,163100,164100,164800,164300,163300,162500,162500,161900,159900,158200,158600,159700,160700,162100,163600,164700,165200,166800,169300,171900,174600,177300,178700,178500,176900,174600,173100,171400,169800,168600,167600,166500,165200,164100,163600,163700,164200,164200,164500,166600,169200,171300,173000,174700,176100,176500,176600,177100,177700,178000,179100,180400,181300,181100,181400,181800,181800,181900,182500,183500,185000,186600,187600,189200,191100,192900,193900,194400,195100,196500,197300,197500,198200,199800,201500,201900,202100,202700,204000,206000,207500,207300,206600,207400,208300,208300,209100,210600,211100,211900,214000,215400,217500,222600,227700,230900,233100,235600,237400,237000,235500,234500,233300,232700,233300,234200,234400,233800,232900,233100,233400,231700,229200,226000,223600,223200,224900,226300,227900,229900,231000,230000,228500,233400,244100,254300,260100,263000,262700,260500,258600,257400,255700,253300,252000,251000,248000,242800,237800,233600,228500,224100,220300,215500,211200,210000,209100,205000,200100,198000,197400,197500,197600,197800,197300,196700,197300,199700,202300,203900,204300,204200,204900,206600,207700,207000,205300,203100,200700,197500,191900,186700,184800,183600,181900,180500,179400,177400,177100,180400,184600,185400,185700,186600,186500,187000,187100,183000,178100,176400,176600,176900,178200,180600,184500,187900,191000,194400,198400,201700,205100,208900,212600,215700,217500,217500,217200,217500,216900,215700,215400,215500,"Alabama"
"AL",1525,"Baldwin","Daphne",1,3,322,157800,156400,155700,155600,157200,158800,159000,159100,159600,160200,161500,163400,165300,167400,169300,170300,170700,171600,173000,173900,174100,174600,175600,176000,176200,176900,177300,177000,176900,177500,178300,179600,181900,184000,184700,186000,188500,190500,190900,191100,191900,192600,192800,192900,192800,191600,190800,191200,192400,193400,195700,198100,198800,198500,198900,199500,200800,202300,203000,202800,202600,201900,200300,198200,197300,198200,199700,201300,203200,205200,206500,207000,206700,206100,206500,207500,208300,208700,208900,209700,211000,213100,214800,216400,218800,222400,224600,224700,223400,222500,222600,223100,222200,221500,222600,225000,226900,227900,229900,234200,239200,242400,244400,245700,247100,248700,250300,251400,251700,252700,255100,259300,264200,268900,272400,274600,277800,282500,286700,289700,293600,298000,301300,302600,303200,302900,301900,301500,302300,301200,297700,294100,292600,292300,292400,292100,291700,291400,292300,292600,290000,285600,283900,286000,287500,285000,280200,276100,272800,269700,266600,264700,263100,260100,255900,250900,245000,239900,236500,233700,230200,228300,227700,227500,227500,228200,229200,230900,232200,232600,232700,232400,231600,231000,230600,228800,227400,227800,229200,229600,229000,227800,226700,226100,227300,228800,230000,232000,234200,236100,237200,237200,236800,237500,238700,239900,241200,242500,243300,242700,241600,241000,240300,239800,240400,242300,244600,246500,248100,249700,251700,254000,255800,257500,258300,258500,260700,264700,267000,266800,266000,265700,265800,266100,266500,267100,268400,270600,273200,275300,276800,279000,281100,280500,277900,276300,276100,276600,277100,277000,276600,"Alabama"
"AL",1208,"Mobile","Mobile",1,97,158,115900,114800,114100,113800,113900,114400,114900,115300,116000,116700,117400,118100,119300,120700,122000,122700,123400,124200,125100,125500,125900,126700,127900,129100,129800,130200,130700,131200,132000,132900,133600,134300,134800,134800,134700,135100,135900,136700,137600,138500,138800,138900,139200,139500,140000,140400,140800,141600,143000,143900,144100,144700,145500,145700,145700,145900,146200,146900,148000,148700,148500,148200,148200,148200,148400,148800,148900,148800,148900,149000,148700,148500,148400,148600,148600,148500,148700,149300,149800,149800,149300,148900,148700,149000,149700,150900,151900,152500,152900,153400,153900,154400,155000,155900,156800,158100,159100,159000,159100,160400,161600,162400,164300,167200,169600,171100,172700,173700,174900,177400,180400,182500,183800,184600,185400,187000,189500,192500,194200,195600,198300,201400,203600,205300,207200,209000,210300,210800,211600,212500,213700,214800,215300,215900,217600,219700,221600,223800,225800,227600,229000,230300,231000,232400,232800,230900,228300,227400,226800,225700,224400,223400,221400,218800,216700,215200,213900,213500,213000,211700,210200,209300,208400,206900,205200,204400,204300,203400,201800,199800,197400,194800,192900,191300,189500,188300,187700,186600,185700,184400,182900,181400,180300,179100,178300,178100,178300,178600,178700,178400,178100,177800,178200,178900,179300,179200,179200,179000,179400,179400,179500,179500,179400,179100,179300,179400,179300,179600,180000,180400,180400,180100,179800,179900,179600,179600,180100,180900,181600,182800,183600,183700,183800,183800,183700,183800,184900,185900,186300,186800,187900,188500,188700,188500,187800,186600,185900,185800,185600,185400,185200,"Alabama"
