"RegionID","RegionName","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04"
9,"California",1,136800,136100,135400,135000,134800,134700,134400,134300,134600,135300,136100,136700,137100,137500,137900,138400,138800,139600,140700,142000,143300,144900,146600,147700,148100,148300,149600,151800,153400,154500,155900,157200,158500,159800,161000,162000,163200,164900,166700,168300,169900,171700,173800,176000,178300,180600,183000,185700,188500,191500,194000,196200,198700,201500,204300,207100,209900,212900,216100,219100,221700,224100,226000,227700,229500,231400,233400,235400,237500,239800,242100,244500,247300,250800,254500,258400,262600,266600,270300,273900,277500,280900,284300,287500,290400,293200,296200,299800,303700,308000,312800,318300,324100,330200,336500,343700,352200,361300,370300,378300,385200,390900,395800,399900,404300,408600,413200,418100,422800,427200,431400,436000,440900,445500,449600,453400,455700,456700,457600,458300,458100,457000,455900,454500,452800,450800,448400,445600,442700,440200,438000,435600,433100,430400,427100,423700,420200,416400,412700,408700,403800,398000,391400,384400,377200,370500,364100,357600,351100,345200,339800,334600,330700,328600,326600,323700,320900,318200,315900,314200,313200,312900,312700,312700,313100,313500,313600,313500,313300,312700,311500,309600,307300,304900,302500,300500,298500,295900,293100,290200,287300,284600,282200,280200,278400,277100,276100,275200,274400,273900,274000,274400,275200,276400,278000,280200,282700,285200,287900,290700,293900,297800,302800,309000,315900,322800,330600,338600,345600,352000,358300,364100,368700,372100,374600,377500,381000,383500,384500,384700,385300,386500,387900,389700,391700,393500,396000,399000,401500,403700,406100,408700,411100,413200,414400,415900,418000,420300,422400,423900,424800
54,"Texas",2,,,,,,,,,,,64600,64700,64900,65200,65400,65400,65700,66300,66500,66200,65900,66300,67000,67300,67400,67600,67900,68400,69000,69500,70000,70100,70100,70600,71100,71500,72100,72800,73300,73800,74000,74400,74800,74800,74600,74800,75000,75000,75300,75600,76000,76600,77100,77700,78300,78600,78700,78900,79200,79400,79500,79700,79800,79700,79900,80400,80600,80700,80800,81100,81300,81600,81800,82000,82200,82600,82800,83200,83400,83500,83600,83900,84300,84500,84700,85200,85800,86200,86600,86700,87000,87200,87300,87800,88900,90100,91100,91800,92400,93100,93700,94100,94400,94800,95200,95300,95500,95900,96200,96200,96600,97000,97200,97200,97200,97400,97700,98200,98700,99300,99900,100600,101300,101900,102200,102700,103100,103400,103600,104100,104800,105600,106200,106400,106900,107300,107300,107600,108200,108900,109100,108400,107300,106200,105200,104400,103700,103700,104400,105500,106800,108200,109500,110700,111800,113200,114300,115300,115900,116400,117300,118000,117800,117600,117600,117300,117000,117400,117800,117600,117200,117100,117400,117500,116700,115600,115200,115900,114800,112300,111600,112700,113300,113500,113200,112800,112400,112000,111700,112200,113400,114500,115500,116600,117300,117700,117700,117300,117200,117400,117500,117200,117700,118700,120500,122400,123300,122800,122300,122900,124500,125700,126300,127500,128800,128400,125400,121700,120000,120000,120300,120500,121100,122100,122900,123100,123900,125600,127400,129100,131200,133200,134700,135500,136300,137500,138600,138900,139500,141000,142100
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461800,469200,464700,442100,414800,399100,401300,415600,419500,410300,400900,398600,402000,406500,410900,417800,420800,420000,422900,430300,435600,437200,435000,433300,434000,433200,433900,439400,441700,439000,437200,439300,442100,443600,440200,437800,440100,443400,445400,448500,449000,446700,445100,445100,443800,442600,445500,450800,452400,450000,448600,448400,448400,446700,442800,438400,434500,431000,426900,423200,420400,418600,417700,418500,419100,419700,421200,422800,423600,426100,428600,429300,430200,432000,432500,432500,433300,434100,435500,437100,436600,434600,433600,433300,433700,434200,433600,432600,432100,431900,432400,432900,432800,432400,432400,433200,435400,438200,440800,442800,443100,445300,451100,455400,455500,456500,459900,463300,466100,469200,475700,484500,494400,504300,508500,520200,545500,568300,576000,579800,581400,583400,588700,597000,604700,609200,613100,615300,617900,623700,632200,640100,649300,657300,661600,663200,662700,660100,659600,662900,665900
14,"Florida",4,71200,71400,71500,71500,71400,71400,71300,71300,71200,71400,71700,72000,72100,72200,72400,72500,72700,72800,73000,73100,73400,73900,74600,75000,75200,75300,75200,75100,75300,75500,75800,76200,76500,76900,77300,77700,78000,78200,78200,78200,78500,78900,79400,79800,80100,80600,81200,81800,82200,82500,83000,83800,84300,84800,85200,85800,86300,86900,87600,88400,89200,90000,91000,92000,93000,93900,94800,95800,96900,98000,99200,100300,101400,102500,103700,105200,106700,108000,109500,111000,112300,113700,115000,116200,117600,119300,120800,122200,123500,124900,126400,128100,129700,131400,133200,135400,137500,139900,142500,145400,148400,151600,154700,158000,161400,164900,168600,173000,177800,182700,187900,193000,198200,203200,208200,212700,216600,220200,222900,225100,227000,228100,228000,227700,227200,226300,224900,223000,221100,219500,217900,215700,213100,210400,207800,205200,202700,200000,197300,194300,191000,187300,183300,179000,174700,170500,166400,162400,158300,154000,149700,145500,142100,139600,137100,134100,131100,128300,125800,123400,121200,119700,118500,117500,116400,115200,113900,112800,111800,111000,110200,109300,108100,106700,105400,104300,103400,102300,101400,100800,100100,99200,98400,97600,96900,96500,96300,96200,96100,96100,96300,97000,97800,98500,99300,100200,101200,102200,103000,103700,104700,105900,107200,108400,109800,111200,112900,114700,116300,117800,119700,121800,123500,124900,125900,127200,128900,130400,131500,132700,133700,134500,135100,135800,136400,136900,137600,138500,139500,140500,141300,142500,143900,145300,146400,147500,148600,150000,151300,152200,152900
21,"Illinois",5,106600,106500,106500,106800,107100,107100,107000,107200,107700,108200,108400,108500,108700,108800,108800,109000,109500,109800,110100,110200,110400,110900,111600,111900,112000,112400,113100,113800,114300,115000,115900,116500,116800,117300,117900,118400,119200,120200,120900,121700,122700,123700,124800,125900,126800,127700,129100,130700,132200,133500,134700,135600,136100,136600,137400,138700,140300,141600,142300,143000,144300,146300,148100,149800,151400,152900,153900,155200,156900,158500,159700,160900,161700,161800,161800,161900,162300,163100,164600,165700,166400,166900,168000,169400,170800,172500,174700,176400,177300,177800,178000,178000,178000,178600,179200,180100,180900,181300,181300,182100,183500,185000,186300,187100,187900,188900,190400,191700,193000,194500,196100,197400,198300,198700,199300,200400,201200,202100,202900,203300,203400,203800,204100,204400,204800,205000,205200,205800,206000,206100,206000,206000,205800,205600,205400,205200,204900,204800,205200,205300,205300,205300,204700,203700,203000,202200,200800,199200,198500,197900,197100,195700,194700,194000,192800,191600,190400,189000,187700,186700,185500,184900,184300,183800,183400,182700,181000,179200,177800,176800,175500,173900,172100,170200,167700,165000,162400,160100,159400,159400,158100,155400,153100,151700,150400,148600,146500,144500,142800,141200,139500,138100,137600,137800,137600,136700,135900,135400,134900,134900,135300,135600,135800,135900,136100,136900,139100,141800,143100,143700,146100,149500,151800,153500,155100,156000,156200,155000,152700,151500,152200,153400,153700,153000,152000,151400,151300,151300,151600,152800,154900,156400,157200,157900,158200,158300,158600,158900,159000,159300,159700
47,"Pennsylvania",6,54200,54100,53800,53600,53600,53600,53600,53500,53500,53600,53600,53500,53400,53400,53300,53300,53200,53100,53100,53000,53000,53300,53800,54200,54200,54200,54300,54100,54000,54100,54400,54700,54900,55000,55200,55400,55600,55600,55500,55700,55900,56000,55900,56000,56300,56500,56700,56900,57000,57000,57300,57300,57400,57600,57800,57700,57700,57900,58000,58100,58400,58600,58700,58900,59200,59700,60200,60800,61400,61900,62300,62500,63000,63600,64100,64600,65300,65900,66300,66900,67300,67700,68300,68900,69500,70300,70900,71500,72200,72700,73200,74000,74800,75700,76500,77400,78100,78900,80000,81200,82300,83400,84800,86200,87500,88700,90100,91600,93000,94500,96200,97900,99400,101000,102600,104300,105800,107100,108200,109200,110600,112100,113500,114400,115100,115700,116300,116600,116800,117100,117500,118100,118800,119200,119400,120000,120600,120900,120700,120100,119400,119100,119100,118800,118400,118000,117500,117200,116900,116600,116300,116100,116200,116700,117000,117000,117100,116900,116700,116800,117200,117500,117800,118500,119300,119200,118800,118600,118700,118800,118900,118400,117400,116400,115800,115200,114600,114300,114100,113700,113000,112300,111600,111100,110800,110500,110200,109800,109200,108900,108800,108500,108000,107400,107000,106500,106100,105800,105500,105400,105300,105000,104800,104900,105300,105800,106000,106300,106800,107400,108000,108800,109400,110100,110700,111700,112600,113400,114000,114600,115000,115300,115500,115700,116100,116500,116700,116700,116700,117100,117500,118000,118500,119200,120000,120700,121400,122000,122400,122500,122600
44,"Ohio",7,83700,84100,84600,85000,85200,85400,85600,85600,85600,85700,86000,86200,86300,86200,86300,86700,87200,87400,87700,88200,88700,89000,89400,89600,89800,90000,90200,90100,90300,90500,90700,90900,91300,91700,92200,92800,93300,93500,93700,94000,94300,94700,94900,94900,94900,95200,95800,96300,96700,97100,97600,98100,98400,98500,98800,99100,99400,99700,100000,100200,100500,100800,101000,101300,101500,101800,102100,102400,102900,103200,103500,103800,104100,104300,104500,104600,105000,105500,105900,106200,106600,107100,107400,107600,107900,108500,109000,109400,109900,110100,110300,110700,111300,111600,111900,112200,112500,112700,112900,113200,113700,114100,114700,115300,115700,116000,116300,116600,117000,117300,117400,117500,117500,117400,117500,117700,117600,117700,118000,118100,117900,117900,118000,118000,117800,117800,117700,117400,117200,117000,116900,116700,116400,116200,116000,115900,115600,115200,114900,114700,114300,113900,113200,112500,112000,111600,111200,111000,110900,110700,110300,109600,109100,108900,108600,108300,108000,107800,107400,107000,106700,106500,106400,106100,105900,105600,105300,104900,104600,104400,104200,103700,103100,102400,101700,101100,100500,99500,98800,98400,98100,97400,96700,96100,95500,94900,94200,93800,93400,93200,93000,93000,93100,93000,92900,93200,93500,93800,93900,93900,93800,94000,94000,93900,93900,94200,94700,95100,95500,95800,96400,97100,97600,97800,98000,98300,98400,98400,98500,98700,98700,98600,98500,98600,98900,99200,99900,100600,101000,101100,101300,101400,101700,102000,102500,103100,103700,104100,104300,104500,104800
30,"Michigan",8,116900,116600,116600,117400,117600,117000,116800,117300,117800,118400,119200,120100,121000,121500,121800,122200,123100,124200,125200,125900,126600,127400,128100,128600,129300,130100,130900,131400,132000,132500,133400,134100,134800,135700,136800,137700,138400,139200,140200,140900,141800,143000,143800,144400,145300,146400,147500,148700,149900,151000,151700,152100,152700,153600,154400,155300,156000,156600,156900,157400,157900,158400,159300,160300,161000,161200,161700,162100,162300,162500,162900,163300,163900,164500,165000,165500,165900,166400,166900,167700,168300,168700,169000,169100,169100,169200,169500,170100,170700,171100,171300,171600,172000,172300,172700,173100,173500,173700,173700,173600,173600,173800,174000,174000,174100,174200,174400,174700,175100,175500,175500,175400,175400,175300,175100,174900,174600,174200,173900,173300,172900,172400,171800,171000,170100,169400,168800,168000,167000,165900,164700,163700,162700,161700,160700,159500,158100,156600,155000,153700,152600,151000,149100,147100,145000,142900,141000,139300,137900,136200,134300,132000,130400,129700,129100,127700,126100,124300,123000,122100,121300,120800,120400,120200,119600,118900,118600,118400,118300,118400,118100,117500,116800,116100,115500,115000,114200,113400,112900,112900,112900,112700,112500,112300,112400,112500,112800,113300,113600,113800,114000,114400,115100,116300,117500,118400,119400,120600,121500,122400,123600,125100,126400,127300,128000,129200,131200,133300,135400,137100,138800,140500,142100,143600,144800,146400,147800,148500,148700,149400,150100,150300,150700,151700,152700,153100,153600,154400,155500,157000,158300,158900,159400,160200,161100,161700,162300,163000,163700,164400,165100
16,"Georgia",9,90200,90400,90100,90000,89900,89700,89600,89800,90000,90500,91100,91500,91900,92500,93100,93900,94600,95200,95800,96300,96600,97100,97900,98500,99100,99600,100100,100800,102000,103200,104000,104800,106000,107500,108800,109900,110600,111700,113500,115200,116400,117500,118800,120200,121700,122900,123800,124700,125800,127300,128400,129000,129500,130200,131100,131700,132200,133000,134100,134600,134800,135300,135800,136300,136900,137600,138300,138800,138900,139000,139400,140200,140700,141000,141200,141700,142300,142900,143200,143700,144300,144700,144800,144900,145300,145400,145400,145500,145600,145400,145400,145700,146100,146600,147100,147800,148100,148300,148600,149200,149500,149800,150200,150500,151100,151700,152200,152600,152900,153400,154000,154600,155100,155900,156700,157500,158200,159000,159600,159900,160200,160900,161200,161300,161500,161700,162100,162500,162600,162500,162400,162500,162600,162700,162800,162500,162000,161200,160500,159700,158900,158000,157000,155900,155000,154000,153100,152400,151600,150400,148700,146600,144700,143400,142200,140800,139600,138400,137300,136200,135600,135300,134800,134300,133600,132600,131800,130900,129700,128700,127700,126600,125500,124300,123200,122200,121100,119600,118300,117300,116100,114300,112100,110200,108600,107300,106100,105200,104600,104200,103600,103200,103100,103300,103500,103600,103600,103700,104000,104200,104700,105500,106300,106900,107500,108500,110000,111800,113300,114500,115900,117700,119200,120400,121300,122900,124900,126400,127300,128300,129300,130200,130900,131700,132500,133200,134100,135000,135600,136500,137800,139100,140300,141400,142400,143400,144400,145300,146400,147300,147800
36,"North Carolina",10,86500,87100,87500,87700,88100,88600,88900,89000,89100,89700,90300,90700,91300,91900,92500,93000,93300,93500,94000,94500,95300,96200,96800,97300,97500,97700,98200,99000,99700,100400,101400,102300,102800,103000,103300,103900,104600,105200,105800,106500,107200,107500,107600,107800,108100,108500,108900,109100,109400,109600,109900,110100,110100,110400,110800,111200,111200,111400,112200,112700,112500,112600,112800,112800,112800,113100,113100,113100,113200,113500,113800,114000,114000,114100,114300,114500,114700,114600,114600,115000,115600,115900,115900,115900,116200,116600,116800,116800,117000,117300,117700,118100,118500,119000,119200,119400,119800,120000,120100,120500,121000,121500,121900,122200,122700,123200,123700,124300,124800,125300,125800,126600,127300,128000,128700,129500,130100,130800,131300,132000,132700,133300,133900,134700,135400,136300,137100,137800,138400,139000,139700,140300,141000,141700,142300,142600,142700,142700,142800,142700,142400,142200,141900,141700,141600,141600,141600,141600,141400,140900,140100,139400,138800,138100,137400,136700,136000,135200,134500,134000,133500,133100,132900,132600,132000,131300,130700,130000,129400,129200,128900,128300,127500,126800,126000,125300,124600,124100,123600,123200,122500,121600,120900,120400,120000,119800,119600,119500,119500,119400,119200,118900,118900,118900,118900,118800,118900,119000,119000,119300,119600,120000,120400,120800,121100,121500,122000,122300,122400,122600,122800,123100,123400,123800,124300,124600,124700,124700,124400,124400,124400,124600,124700,124900,125000,125100,125300,125900,126700,127400,127900,128300,128800,129100,129400,129700,130200,130700,131200,131700,132000
